,sex,age,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,is_recid,is_violent_recid,decile_score.1,score_text,v_decile_score,v_score_text,two_year_recid,is_male,is_female,Other,African-American,Caucasian,Hispanic,Native American,Asian
0,Male,69,Other,0,1,0,0,0,0,0,1,Low,1,Low,0,1,0,1,0,0,0,0,0
1,Male,34,African-American,0,3,0,0,0,1,1,3,Low,1,Low,1,1,0,0,1,0,0,0,0
2,Male,24,African-American,0,4,0,1,4,1,0,4,Low,3,Low,1,1,0,0,1,0,0,0,0
3,Male,23,African-American,0,8,1,0,1,0,0,8,High,6,Medium,0,1,0,0,1,0,0,0,0
4,Male,43,Other,0,1,0,0,2,0,0,1,Low,1,Low,0,1,0,1,0,0,0,0,0
5,Male,44,Other,0,1,0,0,0,0,0,1,Low,1,Low,0,1,0,1,0,0,0,0,0
6,Male,41,Caucasian,0,6,0,0,14,1,0,6,Medium,2,Low,1,1,0,0,0,1,0,0,0
7,Male,43,Other,0,4,0,0,3,0,0,4,Low,3,Low,0,1,0,1,0,0,0,0,0
8,Female,39,Caucasian,0,1,0,0,0,0,0,1,Low,1,Low,0,0,1,0,0,1,0,0,0
9,Male,21,Caucasian,0,3,0,0,1,1,1,3,Low,5,Medium,1,1,0,0,0,1,0,0,0
10,Male,27,Caucasian,0,4,0,0,0,0,0,4,Low,4,Low,0,1,0,0,0,1,0,0,0
11,Male,23,African-American,0,6,0,0,3,1,0,6,Medium,4,Low,1,1,0,0,1,0,0,0,0
12,Female,37,Caucasian,0,1,0,0,0,0,0,1,Low,1,Low,0,0,1,0,0,1,0,0,0
13,Male,41,African-American,0,4,0,0,0,0,0,4,Low,2,Low,0,1,0,0,1,0,0,0,0
14,Female,47,Caucasian,0,1,0,0,1,1,0,1,Low,1,Low,1,0,1,0,0,1,0,0,0
15,Male,31,African-American,0,3,0,0,7,1,0,3,Low,2,Low,1,1,0,0,1,0,0,0,0
16,Male,37,Hispanic,0,1,0,0,0,0,0,1,Low,1,Low,0,1,0,0,0,0,1,0,0
17,Male,25,African-American,0,10,0,0,3,0,0,10,High,9,High,0,1,0,0,1,0,0,0,0
18,Male,31,Caucasian,0,5,0,0,6,1,1,5,Medium,4,Low,1,1,0,0,0,1,0,0,0
19,Male,31,Caucasian,0,3,0,0,5,1,0,3,Low,2,Low,1,1,0,0,0,1,0,0,0
20,Male,64,African-American,0,6,0,0,13,1,0,6,Medium,3,Low,1,1,0,0,1,0,0,0,0
21,Male,21,African-American,0,9,0,0,1,1,0,9,High,9,High,1,1,0,0,1,0,0,0,0
